row_id,field,review_paper,year,n_reviewed,n_affected,leakage_types,annotation_source,confidence,notes,evidence
1,Medicine,Bouwmeester et al.,2012,71,27,L1.1,table1,high,"Reporting and methods in clinical prediction research","Medicine & \citet{bouwmeester_reporting_2012}&71&27&$\circ$&&&&&&&&&$\circ$&&"
2,Neuroimaging,Whelan & Garavan,2014,,14,L1.1;L1.3,table1,high,"Inflated predictions in psychiatric neuroimaging","Neuroimaging& \citet{whelan_when_2014}&--&14&$\circ$&&$\circ$&&&&&&&&&"
3,Autism Diagnostics,Bone et al.,2015,,3,L1.4;L3.3,table1,high,"Excluding borderline autism cases from test set","Autism Diagnostics& \citet{bone_applying_2015}&--&3&&&&$\circ$&&&&$\circ$&&$\circ$&$\circ$&$\circ$"
4,Bioinformatics,Blagus & Lusa,2015,,6,L1.2,section2.4,medium,"Oversampling before train-test split","Bioinformatics& \citet{blagus_joint_2015}&--&6&&$\circ$&&&&&&&&&&"
5,Nutrition Research,Ivanescu et al.,2016,,4,L1.1,table1,high,"Prediction model validation in obesity research","Nutrition Research& \citet{ivanescu_importance_2016}&--&4&$\circ$&&&&&&&&&$\circ$&$\circ$&"
6,Software Engineering,Tu et al.,2018,58,11,L3.1,table1,high,"Time-related misuse of issue tracking data","Software Eng.& \citet{tu_be_2018}&58&11&&&&&&$\circ$&&&$\circ$&$\circ$&&$\circ$"
7,Toxicology,Alves et al.,2019,,1,L1.4,table1,high,"Comment on ML of toxicological big data","Toxicology&\citet{alves_oy_2019}&--&1&&&&$\circ$&&&&&$\circ$&$\circ$&&"
8,Satellite Imaging,Nalepa et al.,2019,17,17,L3.2,table1,high,"Validating hyperspectral image segmentation","Satellite Imaging&\citet{nalepa_validating_2019}&17&17&&&&&&&$\circ$&&&$\circ$&&$\circ$"
9,Tractography,Poulin et al.,2019,4,2,L1.1,table1,high,"Tractography and machine learning","Tractography& \citet{poulin_tractography_2019}&4&2&$\circ$&&&&&&&&$\circ$&$\circ$&$\circ$&$\circ$"
10,Clinical Epidemiology,Christodoulou et al.,2019,71,48,L1.3,table1,high,"No benefit of ML over logistic regression","Clinical Epidem.& \citet{christodoulou_systematic_2019}&71&48&&&$\circ$&&&&&&&$\circ$&&"
11,Brain-computer Interface,Nakanishi et al.,2020,,1,L1.1,table1,high,"Questionable accuracy in SSVEP-based BCIs","Brain-computer Int.& \citet{nakanishi_questionable_2020}&--&1&$\circ$&&&&&&&&&&&$\circ$"
12,Histopathology,Oner et al.,2020,,1,L3.2,section2.4,high,"Same patient in train and test; claim is about new patients","Histopathology& \citet{oner_training_2020}&--&1&&&&&&&$\circ$&&&&&"
13,Neuropsychiatry,Poldrack et al.,2020,100,53,L1.1;L1.2,table1,high,"Best practices for evidence for prediction","Neuropsychiatry& \citet{poldrack_establishment_2020}&100&53&$\circ$&$\circ$&&&&&&&&$\circ$&$\circ$&"
14,Medicine,Vandewiele et al.,2021,24,21,L1.3;L3.2;L3.3,table1,high,"Flaws when applying over-sampling","Medicine& \citet{vandewiele_overly_2021}&24&21&&&$\circ$&&&&$\circ$&$\circ$&$\circ$&$\circ$&&$\circ$"
15,Radiology,Roberts et al.,2021,62,62,L1.1;L1.4;L3.3,table1,high,"COVID-19 chest radiograph and CT pitfalls","Radiology& \citet{roberts_common_2021}&62&62&$\circ$&&&$\circ$&&&&$\circ$&$\circ$&&&$\circ$"
16,IT Operations,Lyu et al.,2021,9,3,L3.1,table1,high,"Data splitting decisions in AIOps","IT Operations& \citet{lyu_empirical_2021}&9&3&&&&&&$\circ$&&&&&&$\circ$"
17,Medicine,Filho et al.,2021,,1,L2,section2.4,high,"Anti-hypertensive drug use as feature for predicting hypertension","Medicine& \citet{filho_data_2021}&--&1&&&&&$\circ$&&&&&&&"
18,Neuropsychiatry,Shim et al.,2021,,1,L1.3,section2.4,high,"Data leakage in feature selection","Neuropsychiatry& \citet{shim_inflated_2021}&--&1&&&$\circ$&&&&&&$\circ$&&&"
19,Genomics,Barnett et al.,2022,41,23,L1.3,table1,high,"Genomic ML meta-regression","Genomics& \citet{barnett_genomic_2022}&41&23&&&$\circ$&&&&&&&$\circ$&&"
20,Computer Security,Arp et al.,2022,30,30,L1.1;L1.2;L1.3;L2;L3.2;L3.3,table1,high,"Dos and donts of ML in computer security","Computer Security& \citet{arp_dos_2022}&30&30&$\circ$&$\circ$&$\circ$&&$\circ$&&$\circ$&$\circ$&&$\circ$&$\circ$&"
